Date,NO,NO2,PM10,PM2.5,CO2,TEMP,HUMI
2022-08-09,165.5237088280645,53.69863554967301,217.125,84.66666666666667,572.4583333333334,26.583333333333332,40.25
2022-08-10,131.27294202946953,51.625,213.29166666666666,82.5,556.0,27.166666666666668,38.666666666666664
2022-08-11,73.04358366315412,55.416666666666664,250.5,92.5,555.0833333333334,27.583333333333332,34.041666666666664
2022-08-12,27.31384189754122,49.625,237.125,89.875,551.875,27.833333333333332,33.166666666666664
2022-08-13,27.064992095433695,40.916666666666664,78.20833333333333,28.375,516.8333333333334,28.666666666666668,27.583333333333332
2022-08-14,41.89985902595699,32.75,60.458333333333336,23.833333333333332,492.7916666666667,28.583333333333332,33.583333333333336
2022-08-15,45.60857575858782,26.208333333333332,60.541666666666664,24.5,500.9583333333333,27.583333333333332,44.416666666666664
2022-08-16,27.856658762100363,35.833333333333336,76.08333333333333,31.75,535.9583333333334,28.0,44.333333333333336
2022-08-17,14.688458498243728,36.541666666666664,64.97483273525016,26.782518184194746,537.0416666666666,27.375,48.125
2022-08-18,26.501916996487456,36.125,97.0,37.083333333333336,546.0416666666666,27.875,45.0
2022-08-19,21.2098669305233,26.625,71.875,27.5,515.9166666666666,27.583333333333332,45.291666666666664
2022-08-20,19.56422529683871,24.708333333333332,226.04166666666666,90.79166666666667,529.4166666666666,26.708333333333332,44.291666666666664
2022-08-21,38.0244756266595,24.458333333333332,231.66666666666666,96.70833333333333,515.625,26.416666666666668,43.916666666666664
2022-08-22,23.939608696136204,26.416666666666668,249.20833333333334,94.0,547.2083333333334,26.5,46.458333333333336
2022-08-23,59.396791831577055,40.118177748365,232.83249700958416,88.28759092097373,559.0239577244506,25.538682406989,50.39161341933279
2022-08-24,37.33678392701076,47.86710656078066,165.52182196975318,69.32617883303351,565.3612478080223,22.9892566651604,43.75147497626472
2022-08-25,18.81345849824373,42.791666666666664,245.83333333333334,99.45833333333333,549.5416666666666,27.958333333333332,44.375
2022-08-26,74.64717523087455,48.855604432679336,265.7083333333333,118.29166666666667,578.8464582115568,27.541666666666668,48.541666666666664
2022-08-27,26.731658762100363,24.958333333333332,219.875,88.125,532.0,26.833333333333332,42.666666666666664
2022-08-28,38.23280895999284,26.791666666666668,180.75,71.66666666666667,503.0416666666667,26.708333333333332,41.5
2022-08-29,33.2947338610466,27.25,244.0,71.31603335947554,560.7083333333334,27.208333333333332,39.666666666666664
2022-08-30,26.293967062451618,31.791666666666668,264.3333333333333,83.7835151752808,572.625,27.416666666666668,40.583333333333336
2022-08-31,29.335633729118285,33.083333333333336,305.2916666666667,110.58333333333333,580.6666666666666,27.708333333333332,41.333333333333336
2022-09-01,25.231275362802872,35.208333333333336,253.04166666666666,102.54166666666667,586.2083333333334,27.708333333333332,43.791666666666664
2022-09-02,24.126916996487456,37.531968883006336,228.6579988038337,99.5142212192509,591.6666666666666,27.708333333333332,42.416666666666664
2022-09-03,19.501533597189965,30.041666666666668,167.41666666666666,65.375,570.0416666666666,27.291666666666668,48.25
2022-09-04,35.39909222736201,32.583333333333336,164.66666666666666,65.29166666666667,533.4166666666666,26.958333333333332,41.375
2022-09-05,26.231275362802872,33.791666666666664,236.70833333333334,97.0,604.0833333333334,28.0,45.5
2022-09-06,49.437691699648745,43.375,208.0,79.75,617.75,27.916666666666668,47.458333333333336
2022-09-07,10.042050065964158,33.125,189.625,72.75,589.2083333333334,27.166666666666668,47.583333333333336
2022-09-08,19.918200263856633,28.958333333333332,139.45833333333334,47.958333333333336,554.7083333333334,26.208333333333332,46.291666666666664
2022-09-09,18.91743346526165,34.583333333333336,121.91666666666667,42.833333333333336,511.46458211556796,25.666666666666668,46.416666666666664
2022-09-10,45.60435836631541,43.791666666666664,101.25,37.708333333333336,540.314997077363,24.75,50.0
2022-09-11,15.354741765612905,38.833333333333336,97.83333333333333,34.625,540.314997077363,24.583333333333332,49.5
2022-09-12,26.97935836631541,45.958333333333336,131.75,45.125,540.314997077363,25.5,45.833333333333336
2022-09-13,21.146025032982077,54.5,124.875,43.0,540.314997077363,26.083333333333332,49.0
2022-09-14,19.02140843227957,39.458333333333336,125.5,41.416666666666664,540.314997077363,26.666666666666668,54.375
2022-09-15,15.646408432279571,41.166666666666664,112.04166666666667,35.666666666666664,540.314997077363,25.666666666666668,45.625
2022-09-16,19.06345849824373,39.156968883006336,116.0,39.791666666666664,559.7670816284618,24.541666666666668,37.291666666666664
2022-09-17,7.583333333333333,43.916666666666664,91.97483273525017,27.875,506.625,23.208333333333332,31.541666666666668
2022-09-18,16.272175230874556,39.083333333333336,82.0,27.75,489.8333333333333,22.666666666666668,34.125
2022-09-19,21.91743346526165,42.333333333333336,104.70833333333333,34.458333333333336,530.5416666666666,22.625,36.083333333333336
2022-09-20,29.68845849824373,46.166666666666664,128.79166666666666,39.166666666666664,544.7083333333334,22.458333333333332,37.666666666666664
2022-09-21,23.14640843227957,48.333333333333336,125.95833333333333,38.708333333333336,540.0833333333334,22.333333333333332,38.458333333333336
2022-09-22,33.52102503298208,63.208333333333336,139.25,44.041666666666664,560.7916666666666,22.583333333333332,34.291666666666664
2022-09-23,57.062691699648745,76.073635549673,137.04166666666666,44.5,574.3047915448901,22.958333333333332,36.125
2022-09-24,16.20948353122581,49.875,107.0,38.75,521.1666666666666,22.583333333333332,46.833333333333336
2022-09-25,14.876150197892477,34.333333333333336,80.95833333333333,27.833333333333332,493.4166666666667,22.083333333333332,42.416666666666664
2022-09-26,49.47974176561291,46.49030221633967,168.41666666666666,45.99085151752808,535.75,21.666666666666668,44.416666666666664
2022-09-27,21.04243346526165,40.666666666666664,136.33333333333334,41.333333333333336,541.0416666666666,21.208333333333332,47.791666666666664
2022-09-28,28.355125164910394,44.5,117.625,34.625,546.625,21.166666666666668,45.875
2022-09-29,30.04243346526165,44.541666666666664,138.04166666666666,41.625,546.0833333333334,20.958333333333332,44.166666666666664
2022-09-30,51.941525692623664,50.754679876466334,128.03832137166998,55.44918485086141,568.5131248782235,20.583333333333332,42.208333333333336
2022-10-01,47.50460079156991,49.767253192152,136.395985646004,40.875,534.5833333333334,21.416666666666668,51.791666666666664
2022-10-02,47.50460079156991,49.767253192152,136.395985646004,37.166666666666664,522.0,21.791666666666668,57.208333333333336
2022-10-03,47.50460079156991,49.767253192152,124.14682196975316,31.708333333333332,547.9583333333334,20.916666666666668,51.166666666666664
2022-10-04,47.50460079156991,49.767253192152,124.20833333333333,47.791666666666664,589.2916666666666,21.375,49.875
2022-10-05,47.50460079156991,49.767253192152,134.5,43.625,560.5416666666666,22.0,52.541666666666664
2022-10-06,47.50460079156991,49.767253192152,115.79166666666667,38.333333333333336,557.9166666666666,21.583333333333332,43.833333333333336
2022-10-07,46.02255863017205,52.537719947057006,127.04166666666667,42.333333333333336,594.8464582115568,21.583333333333332,40.833333333333336
2022-10-08,24.167816864559143,42.5,99.75,32.916666666666664,535.9166666666666,21.291666666666668,42.208333333333336
2022-10-09,26.89679183157706,45.25,89.16666666666667,32.90751818419475,523.625,20.875,39.291666666666664
2022-10-10,24.62576679859498,38.666666666666664,121.25,44.583333333333336,569.6666666666666,21.541666666666668,49.333333333333336
2022-10-11,25.3348669305233,35.666666666666664,125.20833333333333,37.0,556.4583333333334,21.333333333333332,42.416666666666664
2022-10-12,45.5,49.791666666666664,129.0,43.53251818419474,584.25,21.291666666666668,43.083333333333336
